,text,label
320,When I was acceptted as a student of psychology.,joy
321,When my son has a pain in his leg (for no apparent reason).  ,fear
322,"When	 after a week at school	 a teacher sent a note home saying á
that my son was inattentive and unable to do his lessons.",anger
323,"When I thought that it was going to be impossible for me to start á
studying (due to wrong information from the student advisor).",sadness
324,"At a certain person's lack of cleanliness	 at home and á
personally.",disgust
325,"When I made the same mistake that I had accused someone else of	 and á
this was obvious to a third pereson.",shame
326,When I lost something that was valuable to my sister.,guilt
327,When my son was born.,joy
328,"When I nearly drowned in icy water wearing ice skates.  It was á
difficult to get out.",fear
329,"When I was pointed out as a problem child in primary school and á
my mother took the teacher's point of view.",anger
330,When I was accused of neglecting work for the wrong reasons.,sadness
331,"My parents attitude towards each other when they should become á
reconciled	 despite my father's long-time addiction.",disgust
332,When I was caught stealing money from my father.,shame
333,"I stole a coconut cake from a reception table and when I put á
in my mouth I realized that the host was watching me.",guilt
334,"When after 10 months of national service I was ""downgraded"" and á
did not have to do the remaining 5 months.",joy
335,"When I was reprimanded by the manager of the hotel where I á
worked during Autumn 1984.",fear
336,"When my parents drove me to a nearby place and went home á
immediately instead of waiting a few hours.  They could have á
easily waited.",anger
337,"When my ex-girlfriend and I discovered that there was a certain risk á
of her being pregnant.",sadness
338,"When I was about to clean the draining board and saw it looked á
underneath the sink (I live in a students hostel).",disgust
339,When my mother caught me masturbating.,shame
340,"As the only person in my family into academics	 I ought to have á
looked after my younger (and only) sister better	 with respect to á
her education and life experiences.",guilt
341,"When my older sister told us that she was thinking of joining the á
rest of the family for the winter sports holiday.",joy
342,"Slept in a chapel and in the middle of the night I realized that á
there was someeone else in the chapel.  I never discovered who á
it was and why he was there.",fear
343,"When we were in high school a few guys sometimes provoked a á
friend of mine.  They called her a pig and then grunted.  This á
irritated most of the girls.  Once	 one of the girls got angry at á
my friend and said something nasty and this made me terribly á
angry.",anger
344,"I talked to my boyfriend on the phone when I was in high spirits á
and had a lot to tell him.  I had been looking forward to this á
conversation and he did not listen to me to the extent that I á
had anticipated.",sadness
345,A mother who shouts at her child for nothing.,disgust
346,"When I complained to my mother about how untidy the kitchen á
loooked	 she boxed my ears ( this had never happened before).",shame
347,"As I could not be home before midnight I called home at 11.30 and á
asked them to leave the door open so that I could get in.  I á
actually woke up the whole family by calling them so late.  My á
mother could not go back to sleep	 besides she had a conference   á
the next day and really needed to sleep.",guilt
348,When I got through the first day here at the department.,joy
349,"When I was cycling past a parked car someone opened the door and á
nearly pushed me off my bike and into the traffic.",fear
350,"When my boyfriend sat up half the night playing computer games á
with a friend.",anger
351,When I had to leave my mother and my sister after a week's visit.,sadness
352,When I saw a big spider from very close.,disgust
353,"When I asked a friend to return the money that I had loaned her á
and then remembered that she had repayed me in several ways.",shame
354,"When one of my parents insinuates something about the other á
(they are divorced).",guilt
355,When i was asked to be a child's godmother.,joy
